ts,o,h,l,c,v
2025-12-15T15:54:00Z,219.83,219.91,219.35,219.43,34403
2025-12-15T15:55:00Z,219.43,219.70,219.26,219.69,39649
2025-12-15T15:56:00Z,219.69,219.71,219.40,219.44,25322
2025-12-15T15:57:00Z,219.44,219.61,218.98,219.16,25010
2025-12-15T15:58:00Z,219.16,219.32,218.77,218.87,15278
2025-12-15T15:59:00Z,218.87,219.31,218.76,219.26,8057
2025-12-15T16:00:00Z,219.26,219.29,219.00,219.04,28727
2025-12-15T16:01:00Z,219.04,219.46,218.84,219.35,35637
2025-12-15T16:02:00Z,219.35,219.49,219.15,219.17,5067
2025-12-15T16:03:00Z,219.17,219.30,219.06,219.30,2386
2025-12-15T16:04:00Z,219.30,219.77,219.13,219.64,18032
2025-12-15T16:05:00Z,219.64,220.01,219.46,219.88,48069
2025-12-15T16:06:00Z,219.88,219.95,219.59,219.74,15717
2025-12-15T16:07:00Z,219.74,220.27,219.60,220.18,49167
2025-12-15T16:08:00Z,220.18,220.31,220.02,220.06,11081
2025-12-15T16:09:00Z,220.06,220.20,220.05,220.18,7144
2025-12-15T16:10:00Z,220.18,220.48,220.14,220.35,23440
2025-12-15T16:11:00Z,220.35,220.72,220.25,220.64,43174
2025-12-15T16:12:00Z,220.64,220.67,220.50,220.64,16671
2025-12-15T16:13:00Z,220.64,220.85,220.54,220.74,7110
2025-12-15T16:14:00Z,220.74,220.88,220.33,220.42,44353
2025-12-15T16:15:00Z,220.42,220.57,220.39,220.56,14902
2025-12-15T16:16:00Z,220.56,220.73,220.38,220.53,35466
2025-12-15T16:17:00Z,220.53,220.68,220.35,220.62,15462
2025-12-15T16:18:00Z,220.62,220.62,220.49,220.53,17781
2025-12-15T16:19:00Z,220.53,220.61,220.09,220.19,1892
2025-12-15T16:20:00Z,220.19,220.22,219.99,220.19,2725
2025-12-15T16:21:00Z,220.19,220.41,220.14,220.39,16527
2025-12-15T16:22:00Z,220.39,220.53,219.87,220.00,4860
2025-12-15T16:23:00Z,220.00,220.23,219.87,220.10,48079
2025-12-15T16:24:00Z,220.10,220.27,219.97,220.26,31158
2025-12-15T16:25:00Z,220.26,220.45,220.02,220.14,9406
2025-12-15T16:26:00Z,220.14,220.61,220.00,220.42,9711
2025-12-15T16:27:00Z,220.42,220.50,220.27,220.38,18770
2025-12-15T16:28:00Z,220.38,220.85,220.29,220.77,14677
2025-12-15T16:29:00Z,220.77,220.82,220.20,220.36,15574
2025-12-15T16:30:00Z,220.36,220.36,220.22,220.28,40009
2025-12-15T16:31:00Z,220.28,220.45,219.90,220.06,3682
2025-12-15T16:32:00Z,220.06,220.36,219.93,220.23,16586
2025-12-15T16:33:00Z,220.23,220.34,219.73,219.90,25087
2025-12-15T16:34:00Z,219.90,219.95,219.49,219.50,17722
2025-12-15T16:35:00Z,219.50,219.65,219.14,219.28,22703
2025-12-15T16:36:00Z,219.28,219.29,218.72,218.87,28605
2025-12-15T16:37:00Z,218.87,219.07,218.77,218.99,48534
2025-12-15T16:38:00Z,218.99,219.43,218.81,219.25,49091
2025-12-15T16:39:00Z,219.25,219.84,219.14,219.65,34086
2025-12-15T16:40:00Z,219.65,219.69,219.21,219.29,14056
2025-12-15T16:41:00Z,219.29,219.45,218.90,218.96,40993
2025-12-15T16:42:00Z,218.96,219.13,218.82,218.94,13113
2025-12-15T16:43:00Z,218.94,219.13,218.76,219.11,47968
2025-12-15T16:44:00Z,219.11,219.16,218.68,218.80,34221
2025-12-15T16:45:00Z,218.80,218.83,218.22,218.38,26418
2025-12-15T16:46:00Z,218.38,218.79,218.18,218.70,28030
2025-12-15T16:47:00Z,218.70,218.84,218.62,218.68,40081
2025-12-15T16:48:00Z,218.68,218.72,218.50,218.57,25144
2025-12-15T16:49:00Z,218.57,218.62,218.54,218.59,31161
2025-12-15T16:50:00Z,218.59,218.64,218.21,218.28,40486
2025-12-15T16:51:00Z,218.28,218.35,218.09,218.32,13594
2025-12-15T16:52:00Z,218.32,218.38,218.00,218.13,32689
2025-12-15T16:53:00Z,218.13,218.37,218.10,218.27,37799
2025-12-15T16:54:00Z,218.27,218.35,218.19,218.35,26340
2025-12-15T16:55:00Z,218.35,218.43,218.31,218.39,8754
2025-12-15T16:56:00Z,218.39,218.44,217.94,218.07,20061
2025-12-15T16:57:00Z,218.07,218.11,217.61,217.66,14467
2025-12-15T16:58:00Z,217.66,217.74,217.52,217.65,42718
2025-12-15T16:59:00Z,217.65,217.81,217.30,217.37,26447
2025-12-15T17:00:00Z,217.37,217.38,217.24,217.31,43787
2025-12-15T17:01:00Z,217.31,217.43,217.13,217.22,45825
2025-12-15T17:02:00Z,217.22,217.25,216.94,216.97,14389
2025-12-15T17:03:00Z,216.97,217.10,216.66,216.71,29512
2025-12-15T17:04:00Z,216.71,216.96,216.59,216.91,24145
2025-12-15T17:05:00Z,216.91,216.99,216.60,216.77,47965
2025-12-15T17:06:00Z,216.77,216.89,216.69,216.78,36231
2025-12-15T17:07:00Z,216.78,217.03,216.65,216.93,12748
2025-12-15T17:08:00Z,216.93,217.48,216.80,217.35,43672
2025-12-15T17:09:00Z,217.35,217.42,217.20,217.35,28990
2025-12-15T17:10:00Z,217.35,217.47,217.06,217.15,21355
2025-12-15T17:11:00Z,217.15,217.20,217.02,217.19,12837
2025-12-15T17:12:00Z,217.19,217.63,217.13,217.55,41684
2025-12-15T17:13:00Z,217.55,217.58,217.11,217.30,43492
2025-12-15T17:14:00Z,217.30,217.49,217.22,217.48,36161
2025-12-15T17:15:00Z,217.48,217.54,217.41,217.44,19930
2025-12-15T17:16:00Z,217.44,217.71,217.29,217.67,26447
2025-12-15T17:17:00Z,217.67,218.14,217.53,217.98,31706
2025-12-15T17:18:00Z,217.98,218.66,217.83,218.46,3709
2025-12-15T17:19:00Z,218.46,218.63,218.36,218.36,21431
2025-12-15T17:20:00Z,218.36,218.94,218.35,218.81,19595
2025-12-15T17:21:00Z,218.81,218.94,218.36,218.43,8853
2025-12-15T17:22:00Z,218.43,218.53,218.21,218.31,34062
2025-12-15T17:23:00Z,218.31,218.47,218.07,218.08,22943
2025-12-15T17:24:00Z,218.08,218.33,217.95,218.16,16478
2025-12-15T17:25:00Z,218.16,218.28,217.80,217.90,35856
2025-12-15T17:26:00Z,217.90,218.22,217.79,218.08,49429
2025-12-15T17:27:00Z,218.08,218.23,217.56,217.63,45281
2025-12-15T17:28:00Z,217.63,218.18,217.54,218.05,41022
2025-12-15T17:29:00Z,218.05,218.44,217.95,218.24,40921
2025-12-15T17:30:00Z,218.24,218.62,218.13,218.48,35249
2025-12-15T17:31:00Z,218.48,218.86,218.29,218.71,49468
2025-12-15T17:32:00Z,218.71,219.13,218.63,218.94,21523
2025-12-15T17:33:00Z,218.94,219.04,218.78,219.02,7726
2025-12-15T17:34:00Z,219.02,219.06,218.75,218.86,45219
2025-12-15T17:35:00Z,218.86,218.86,218.56,218.57,30966
2025-12-15T17:36:00Z,218.57,218.73,218.23,218.26,28506
2025-12-15T17:37:00Z,218.26,218.42,218.21,218.29,2856
2025-12-15T17:38:00Z,218.29,218.46,218.14,218.24,37478
2025-12-15T17:39:00Z,218.24,218.56,218.14,218.44,13783
2025-12-15T17:40:00Z,218.44,218.57,218.27,218.28,4231
2025-12-15T17:41:00Z,218.28,218.55,218.23,218.46,23092
2025-12-15T17:42:00Z,218.46,218.54,218.31,218.44,5258
2025-12-15T17:43:00Z,218.44,218.59,217.78,217.97,16666
2025-12-15T17:44:00Z,217.97,218.15,217.44,217.54,27642
2025-12-15T17:45:00Z,217.54,217.85,217.45,217.81,34492
2025-12-15T17:46:00Z,217.81,217.95,217.28,217.34,5849
2025-12-15T17:47:00Z,217.34,217.82,217.19,217.71,13835
2025-12-15T17:48:00Z,217.71,218.37,217.62,218.19,9134
2025-12-15T17:49:00Z,218.19,218.50,218.03,218.33,1852
2025-12-15T17:50:00Z,218.33,218.58,218.29,218.51,2944
2025-12-15T17:51:00Z,218.51,218.55,218.01,218.02,27736
2025-12-15T17:52:00Z,218.02,218.34,217.88,218.19,42196
2025-12-15T17:53:00Z,218.19,218.55,218.07,218.44,12231
2025-12-15T17:54:00Z,218.44,218.47,217.91,218.01,12855
2025-12-15T17:55:00Z,218.01,218.17,217.86,217.91,34764
2025-12-15T17:56:00Z,217.91,218.37,217.72,218.23,44909
2025-12-15T17:57:00Z,218.23,218.64,218.05,218.55,39058
2025-12-15T17:58:00Z,218.55,218.69,218.20,218.23,27738
2025-12-15T17:59:00Z,218.23,218.33,218.05,218.13,42057
2025-12-15T18:00:00Z,218.13,218.19,218.06,218.11,13677
2025-12-15T18:01:00Z,218.11,218.23,217.83,217.90,11407
2025-12-15T18:02:00Z,217.90,218.46,217.78,218.39,25995
2025-12-15T18:03:00Z,218.39,218.58,217.83,217.92,25285
2025-12-15T18:04:00Z,217.92,218.10,217.35,217.43,22803
2025-12-15T18:05:00Z,217.43,217.74,217.32,217.63,28367
2025-12-15T18:06:00Z,217.63,217.73,217.31,217.41,44247
2025-12-15T18:07:00Z,217.41,217.44,217.23,217.35,43066
2025-12-15T18:08:00Z,217.35,217.38,216.92,217.01,32955
2025-12-15T18:09:00Z,217.01,217.08,216.51,216.66,4847
2025-12-15T18:10:00Z,216.66,216.84,216.21,216.35,21736
2025-12-15T18:11:00Z,216.35,216.51,216.30,216.46,16937
2025-12-15T18:12:00Z,216.46,216.64,215.95,216.13,2579
2025-12-15T18:13:00Z,216.13,216.19,215.76,215.77,39536
2025-12-15T18:14:00Z,215.77,215.81,215.43,215.50,14951
2025-12-15T18:15:00Z,215.50,215.55,214.90,215.06,40806
2025-12-15T18:16:00Z,215.06,215.23,214.63,214.63,40686
2025-12-15T18:17:00Z,214.63,214.76,214.42,214.58,27478
2025-12-15T18:18:00Z,214.58,214.75,214.13,214.19,19866
2025-12-15T18:19:00Z,214.19,214.33,214.11,214.28,27165
2025-12-15T18:20:00Z,214.28,214.83,214.21,214.71,48683
2025-12-15T18:21:00Z,214.71,214.89,214.66,214.77,12480
2025-12-15T18:22:00Z,214.77,214.91,214.66,214.70,2219
2025-12-15T18:23:00Z,214.70,214.90,214.44,214.61,41099
2025-12-15T18:24:00Z,214.61,215.05,214.60,214.89,20481
2025-12-15T18:25:00Z,214.89,215.46,214.74,215.30,13002
2025-12-15T18:26:00Z,215.30,215.41,215.11,215.17,11005
2025-12-15T18:27:00Z,215.17,215.29,214.86,214.87,19411
2025-12-15T18:28:00Z,214.87,215.06,214.63,214.82,40704
2025-12-15T18:29:00Z,214.82,215.07,214.69,214.98,25729
2025-12-15T18:30:00Z,214.98,215.15,214.86,215.02,18781
2025-12-15T18:31:00Z,215.02,215.60,214.94,215.48,46860
2025-12-15T18:32:00Z,215.48,215.59,215.13,215.21,20343
2025-12-15T18:33:00Z,215.21,215.55,215.09,215.46,40716
2025-12-15T18:34:00Z,215.46,215.48,214.99,215.10,45866
2025-12-15T18:35:00Z,215.10,215.11,214.63,214.75,23492
2025-12-15T18:36:00Z,214.75,214.93,214.69,214.77,14328
2025-12-15T18:37:00Z,214.77,215.26,214.77,215.13,44244
2025-12-15T18:38:00Z,215.13,215.33,215.08,215.27,40546
2025-12-15T18:39:00Z,215.27,215.33,214.67,214.83,12917
2025-12-15T18:40:00Z,214.83,214.87,214.80,214.83,30855
2025-12-15T18:41:00Z,214.83,215.46,214.68,215.28,4062
2025-12-15T18:42:00Z,215.28,215.29,215.13,215.26,44673
2025-12-15T18:43:00Z,215.26,215.44,214.93,214.95,24576
2025-12-15T18:44:00Z,214.95,214.98,214.36,214.49,10045
2025-12-15T18:45:00Z,214.49,214.87,214.37,214.79,1417
2025-12-15T18:46:00Z,214.79,214.94,214.46,214.51,30973
2025-12-15T18:47:00Z,214.51,214.91,214.38,214.83,39895
2025-12-15T18:48:00Z,214.83,215.06,214.79,214.89,40296
2025-12-15T18:49:00Z,214.89,214.92,214.85,214.90,32582
2025-12-15T18:50:00Z,214.90,214.92,214.70,214.73,44158
2025-12-15T18:51:00Z,214.73,214.77,214.42,214.47,36494
2025-12-15T18:52:00Z,214.47,214.96,214.28,214.85,19764
2025-12-15T18:53:00Z,214.85,214.99,214.55,214.65,36636
2025-12-15T18:54:00Z,214.65,214.89,214.49,214.83,28349
2025-12-15T18:55:00Z,214.83,214.92,214.45,214.50,6932
2025-12-15T18:56:00Z,214.50,214.56,214.33,214.36,22877
2025-12-15T18:57:00Z,214.36,214.64,214.36,214.56,38693
2025-12-15T18:58:00Z,214.56,214.60,214.10,214.11,22788
2025-12-15T18:59:00Z,214.11,214.14,213.87,213.89,12968
2025-12-15T19:00:00Z,213.89,213.91,213.52,213.54,7648
2025-12-15T19:01:00Z,213.54,213.63,213.15,213.23,9044
2025-12-15T19:02:00Z,213.23,213.34,212.57,212.75,38138
2025-12-15T19:03:00Z,212.75,212.84,212.68,212.72,44888
2025-12-15T19:04:00Z,212.72,212.88,212.28,212.46,34329
2025-12-15T19:05:00Z,212.46,212.54,211.94,212.10,39045
2025-12-15T19:06:00Z,212.10,212.14,211.67,211.73,6921
2025-12-15T19:07:00Z,211.73,211.80,211.29,211.32,6386
2025-12-15T19:08:00Z,211.32,211.51,210.85,210.95,46517
2025-12-15T19:09:00Z,210.95,211.20,210.87,211.19,4989
2025-12-15T19:10:00Z,211.19,211.36,210.65,210.77,30878
2025-12-15T19:11:00Z,210.77,210.96,210.20,210.30,47410
2025-12-15T19:12:00Z,210.30,210.60,210.20,210.51,7562
2025-12-15T19:13:00Z,210.51,210.60,210.39,210.50,49099
2025-12-15T19:14:00Z,210.50,210.58,210.02,210.05,28606
2025-12-15T19:15:00Z,210.05,210.18,209.87,210.07,24993
2025-12-15T19:16:00Z,210.07,210.21,210.06,210.16,37906
2025-12-15T19:17:00Z,210.16,210.26,209.86,209.90,25360
2025-12-15T19:18:00Z,209.90,209.98,209.78,209.97,22063
2025-12-15T19:19:00Z,209.97,210.01,209.85,209.98,20943
2025-12-15T19:20:00Z,209.98,209.99,209.85,209.86,7414
2025-12-15T19:21:00Z,209.86,209.97,209.35,209.54,23181
2025-12-15T19:22:00Z,209.54,209.98,209.45,209.80,33180
2025-12-15T19:23:00Z,209.80,209.94,209.57,209.70,3171
2025-12-15T19:24:00Z,209.70,209.92,209.62,209.92,26195
2025-12-15T19:25:00Z,209.92,210.19,209.78,210.15,11258
2025-12-15T19:26:00Z,210.15,210.34,209.87,209.99,40139
2025-12-15T19:27:00Z,209.99,210.04,209.59,209.66,18124
2025-12-15T19:28:00Z,209.66,209.85,209.48,209.77,26553
2025-12-15T19:29:00Z,209.77,209.79,209.15,209.28,12747
2025-12-15T19:30:00Z,209.28,209.38,208.76,208.90,40232
2025-12-15T19:31:00Z,208.90,209.43,208.80,209.25,22853
2025-12-15T19:32:00Z,209.25,209.28,209.16,209.23,31994
2025-12-15T19:33:00Z,209.23,209.40,208.79,208.87,12681
2025-12-15T19:34:00Z,208.87,208.98,208.44,208.44,7972
2025-12-15T19:35:00Z,208.44,208.61,208.28,208.39,12184
2025-12-15T19:36:00Z,208.39,208.64,208.19,208.47,31333
2025-12-15T19:37:00Z,208.47,208.61,208.31,208.37,20291
2025-12-15T19:38:00Z,208.37,208.41,207.89,208.03,23242
2025-12-15T19:39:00Z,208.03,208.11,207.83,207.84,31370
2025-12-15T19:40:00Z,207.84,207.89,207.61,207.70,39609
2025-12-15T19:41:00Z,207.70,208.06,207.59,208.05,34443
2025-12-15T19:42:00Z,208.05,208.21,207.77,207.86,27095
2025-12-15T19:43:00Z,207.86,208.20,207.75,208.04,35137
2025-12-15T19:44:00Z,208.04,208.22,207.40,207.55,38168
2025-12-15T19:45:00Z,207.55,207.63,207.32,207.47,35331
2025-12-15T19:46:00Z,207.47,207.61,207.47,207.57,28313
2025-12-15T19:47:00Z,207.57,207.61,206.99,207.08,47774
2025-12-15T19:48:00Z,207.08,207.42,206.92,207.41,3301
2025-12-15T19:49:00Z,207.41,207.64,207.24,207.61,28594
2025-12-15T19:50:00Z,207.61,207.98,207.43,207.92,36988
2025-12-15T19:51:00Z,207.92,208.05,207.44,207.58,25175
2025-12-15T19:52:00Z,207.58,208.09,207.57,207.89,15795
2025-12-15T19:53:00Z,207.89,207.97,207.65,207.79,47683
2025-12-15T19:54:00Z,207.79,207.94,207.56,207.61,40128
2025-12-15T19:55:00Z,207.61,207.91,207.45,207.75,29149
2025-12-15T19:56:00Z,207.75,208.06,207.74,207.86,7734
2025-12-15T19:57:00Z,207.86,208.21,207.78,208.10,16598
2025-12-15T19:58:00Z,208.10,208.45,207.92,208.36,18348
2025-12-15T19:59:00Z,208.36,208.58,208.21,208.57,31839
2025-12-15T20:00:00Z,208.57,208.75,208.32,208.41,39204
2025-12-15T20:01:00Z,208.41,208.47,208.00,208.19,49229
2025-12-15T20:02:00Z,208.19,208.41,208.14,208.25,37038
2025-12-15T20:03:00Z,208.25,208.34,207.76,207.80,34987
2025-12-15T20:04:00Z,207.80,208.36,207.69,208.19,22708
2025-12-15T20:05:00Z,208.19,208.72,208.08,208.67,17777
2025-12-15T20:06:00Z,208.67,208.82,208.21,208.41,36548
2025-12-15T20:07:00Z,208.41,208.50,207.93,207.97,44266
2025-12-15T20:08:00Z,207.97,208.14,207.39,207.50,3568
2025-12-15T20:09:00Z,207.50,207.81,207.44,207.71,15061
2025-12-15T20:10:00Z,207.71,207.94,207.64,207.82,26284
2025-12-15T20:11:00Z,207.82,208.01,207.29,207.40,44095
2025-12-15T20:12:00Z,207.40,207.70,207.32,207.67,38263
2025-12-15T20:13:00Z,207.67,207.67,207.06,207.22,22549
2025-12-15T20:14:00Z,207.22,207.34,206.65,206.75,35614
2025-12-15T20:15:00Z,206.75,206.87,206.14,206.29,15925
2025-12-15T20:16:00Z,206.29,206.36,205.95,206.07,4505
2025-12-15T20:17:00Z,206.07,206.17,205.66,205.82,32856
2025-12-15T20:18:00Z,205.82,206.11,205.81,206.09,46132
2025-12-15T20:19:00Z,206.09,206.22,205.63,205.73,21093
2025-12-15T20:20:00Z,205.73,206.36,205.64,206.22,12711
2025-12-15T20:21:00Z,206.22,206.22,205.92,206.05,35095
2025-12-15T20:22:00Z,206.05,206.16,205.59,205.69,7496
2025-12-15T20:23:00Z,205.69,205.84,205.22,205.27,43211
2025-12-15T20:24:00Z,205.27,205.59,205.15,205.50,46535
2025-12-15T20:25:00Z,205.50,205.58,205.19,205.36,31182
2025-12-15T20:26:00Z,205.36,205.54,205.24,205.40,34779
2025-12-15T20:27:00Z,205.40,205.56,205.31,205.33,36405
2025-12-15T20:28:00Z,205.33,205.55,205.32,205.41,42081
2025-12-15T20:29:00Z,205.41,205.68,205.26,205.54,12196
2025-12-15T20:30:00Z,205.54,206.02,205.53,205.95,6078
2025-12-15T20:31:00Z,205.95,206.50,205.80,206.34,16581
2025-12-15T20:32:00Z,206.34,206.73,206.20,206.56,16064
2025-12-15T20:33:00Z,206.56,206.62,205.99,206.10,32506
2025-12-15T20:34:00Z,206.10,206.63,205.92,206.44,36056
2025-12-15T20:35:00Z,206.44,206.62,206.25,206.51,41916
2025-12-15T20:36:00Z,206.51,207.01,206.41,206.84,45781
2025-12-15T20:37:00Z,206.84,206.99,206.42,206.60,40225
2025-12-15T20:38:00Z,206.60,206.77,206.47,206.54,48904
2025-12-15T20:39:00Z,206.54,206.94,206.37,206.74,22341
2025-12-15T20:40:00Z,206.74,206.96,206.62,206.85,16569
2025-12-15T20:41:00Z,206.85,206.91,206.38,206.48,25265
2025-12-15T20:42:00Z,206.48,206.60,205.94,206.04,27584
2025-12-15T20:43:00Z,206.04,206.32,205.96,206.17,30766
2025-12-15T20:44:00Z,206.17,206.57,206.12,206.38,39348
2025-12-15T20:45:00Z,206.38,206.56,205.99,206.14,23460
2025-12-15T20:46:00Z,206.14,206.25,206.01,206.12,48866
2025-12-15T20:47:00Z,206.12,206.18,205.94,205.97,29871
2025-12-15T20:48:00Z,205.97,206.04,205.78,205.88,2304
2025-12-15T20:49:00Z,205.88,206.03,205.69,205.75,9705
2025-12-15T20:50:00Z,205.75,205.94,205.53,205.68,33716
2025-12-15T20:51:00Z,205.68,205.82,205.21,205.29,26989
2025-12-15T20:52:00Z,205.29,205.46,205.17,205.25,25295
2025-12-15T20:53:00Z,205.25,205.78,205.07,205.59,40024
2025-12-15T20:54:00Z,205.59,205.67,205.00,205.15,35284
2025-12-15T20:55:00Z,205.15,205.24,205.15,205.17,43938
2025-12-15T20:56:00Z,205.17,205.61,205.11,205.53,27612
2025-12-15T20:57:00Z,205.53,205.74,205.37,205.63,27550
2025-12-15T20:58:00Z,205.63,205.64,205.40,205.51,38227
2025-12-15T20:59:00Z,205.51,206.10,205.48,205.90,47514
2025-12-16T14:30:00Z,205.90,205.94,205.65,205.76,17170
2025-12-16T14:31:00Z,205.76,205.78,205.22,205.41,21017
2025-12-16T14:32:00Z,205.41,205.58,205.13,205.29,4960
2025-12-16T14:33:00Z,205.29,205.39,205.13,205.25,36916
2025-12-16T14:34:00Z,205.25,205.31,204.75,204.84,40312
2025-12-16T14:35:00Z,204.84,204.85,204.46,204.54,28601
2025-12-16T14:36:00Z,204.54,204.70,204.42,204.59,10191
2025-12-16T14:37:00Z,204.59,204.79,204.27,204.40,13105
2025-12-16T14:38:00Z,204.40,204.50,204.40,204.42,39542
2025-12-16T14:39:00Z,204.42,204.55,203.84,203.93,12154
2025-12-16T14:40:00Z,203.93,203.99,203.72,203.89,7181
2025-12-16T14:41:00Z,203.89,204.34,203.76,204.17,29047
2025-12-16T14:42:00Z,204.17,204.64,204.04,204.62,42281
2025-12-16T14:43:00Z,204.62,204.99,204.51,204.96,9405
2025-12-16T14:44:00Z,204.96,205.22,204.81,205.10,32812
2025-12-16T14:45:00Z,205.10,205.30,204.91,204.98,17538
2025-12-16T14:46:00Z,204.98,205.37,204.90,205.25,35371
2025-12-16T14:47:00Z,205.25,205.34,205.06,205.26,11199
2025-12-16T14:48:00Z,205.26,205.44,205.19,205.25,16036
2025-12-16T14:49:00Z,205.25,205.39,204.64,204.78,45322
2025-12-16T14:50:00Z,204.78,205.03,204.78,204.89,27924
